Start Capital,End Capital,Multiple,CAGR,Volatility,Sharpe,Sharpe Full,Sharpe Alpha,Sharpe Carry,Max Drawdown,AlphaOnly End,Carry Contribution,Annual Returns,Trade Stats,Days,First Date,Last Date,Run
1000332.1182903808,6335249.909975711,6.333146556168745,0.4468110083587784,0.15215651753468026,2.505738644021857,2.505738644021857,1.1054741586949948,1.4002644853268624,-0.24578810761898007,3113470.7003152734,3221779.209660438,"{2020: 0.19543620827821573, 2021: 0.279597139425652, 2022: 0.13227505221510172, 2023: 0.7049568614528794, 2024: 1.1394156278680398}","{'trades': 631, 'win_rate': 0.5594294770206022, 'avg_return': 0.018518875045303317, 'std_return': 0.184528930037457, 'avg_win': 0.12344175367111962, 'avg_loss': -0.1147105355838807, 'median_return': 0.0147780399367926, 'max_return': 0.8495853555017971, 'min_return': -0.964585165854459}",1824,2020-01-03,2024-12-30,base_run
1000332.1182903808,5722639.365249083,5.7207394030588254,0.4176645740230236,0.16087717199738458,2.251337053921969,2.251337053921969,0.9473659118237352,1.3039711420982338,-0.19149065151201417,2712986.8891818756,3009652.4760672078,"{2020: 0.17775874980408113, 2021: 0.1618399014550409, 2022: 0.11708342209478917, 2023: 0.8178773191436957, 2024: 1.0537468300091604}","{'trades': 530, 'win_rate': 0.5207547169811321, 'avg_return': 0.01733286313219769, 'std_return': 0.21095313404280838, 'avg_win': 0.14892464845300593, 'avg_loss': -0.1256566358778144, 'median_return': 0.0071344202727005, 'max_return': 1.1328168912511658, 'min_return': -0.9139120860796064}",1824,2020-01-03,2024-12-30,exit_tight
1000331.1784434244,6156907.076572841,6.154868716731753,0.4385676702340815,0.13037234533155856,2.8568386760039712,2.8568386760039712,1.1981393921560286,1.6586992838479426,-0.20864396623789894,2951080.8355874876,3205826.2409853535,"{2020: 0.20575604869899888, 2021: 0.2564721247019295, 2022: 0.11244694125226062, 2023: 0.7821697718192895, 2024: 1.044188352758714}","{'trades': 765, 'win_rate': 0.5490196078431373, 'avg_return': 0.018684332904427156, 'std_return': 0.18335151634144628, 'avg_win': 0.12594996603381334, 'avg_loss': -0.11189991612265165, 'median_return': 0.011990195576702, 'max_return': 0.8495853555017971, 'min_return': -0.964585165854459}",1824,2020-01-03,2024-12-30,zscale_fixed
1000332.8932281486,6521883.147817638,6.51971277958384,0.4552411679428725,0.16231103576601114,2.3944258227908297,2.3944258227908297,1.0496587785670755,1.3447670442237543,-0.2634859541045337,3076684.8691503564,3445198.2786672814,"{2020: 0.17993195871939816, 2021: 0.3738602089681977, 2022: 0.11821391013236004, 2023: 0.8068903208814162, 2024: 0.9856915156459649}","{'trades': 597, 'win_rate': 0.5544388609715243, 'avg_return': 0.015872665499802405, 'std_return': 0.1827637776816929, 'avg_win': 0.12230346929841088, 'avg_loss': -0.11656566554282695, 'median_return': 0.0145433075340612, 'max_return': 0.8495853555017971, 'min_return': -0.964585165854459}",1824,2020-01-03,2024-12-30,zscale_wide
