Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
FROTO-KCHOL,2021-08-02,2021-08-18,80335.1306468511,1.9822117973668985,1.3214745315779324,-0.006880937264580031,64.26810451748088,32.13405225874044,-552.780994122823,-649.1831508990443,1268949.5868929478
TKFEN-YKBNK,2021-07-30,2021-08-20,125331.68695633339,2.446555790809755,1.63103719387317,-0.0433556343684282,100.26534956506671,50.13267478253336,-5433.834794457092,-5584.232818804692,1264868.3413427016
DOAS-FROTO,2021-08-13,2021-08-24,129831.21200972756,-2.5639200531118935,1.709280035407929,0.07301359476968339,103.86496960778206,51.93248480389103,9479.4435021351,9323.646047723427,1277149.664937051
CCOLA-ODAS,2021-08-03,2021-08-25,129874.63241469144,3.1139112088759244,2.0,0.007125825546381319,103.89970593175316,51.94985296587658,925.4639734874917,769.6144145898619,1278653.6731115174
EKGYO-HALKB,2021-08-10,2021-09-01,130794.31121714502,-2.5505329750009467,1.7003553166672978,-0.030828307214994695,104.63544897371602,52.31772448685801,-4032.1672081757733,-4189.120381636348,1279746.1835200717
CIMSA-TCELL,2021-07-05,2021-09-02,115619.60738262461,2.321778134081419,1.5478520893876127,-0.14599507782515456,92.4956859060997,46.24784295304985,-16879.893577940096,-17018.637106799244,1263471.9766325848
GUBRF-TOASO,2021-07-16,2021-09-07,122251.96620052782,2.435921505607232,1.6239476704048215,0.3644623733844826,97.80157296042226,48.90078648021113,44556.24175236392,44409.53939292329,1311577.4116921888
SASA-SOKM,2021-08-16,2021-09-16,152173.59201082864,5.062933529014826,2.0,0.039193677767752066,121.73887360866291,60.86943680433146,5964.242730033788,5781.634419620793,1324348.9441526062
SISE-TTKOM,2021-08-17,2021-09-20,152261.94423602536,-6.57052059247627,2.0,-0.06630886551447286,121.8095553888203,60.90477769441015,-10096.316783318773,-10279.031116402002,1317176.8363996635
ODAS-PGSUS,2021-08-13,2021-09-22,80717.6695655557,-1.594020793891086,1.062680529260724,-0.0009921530226827762,64.57413565244457,32.287067826222284,-80.08427984337561,-176.94548332204246,1318533.0556182438
EKGYO-HALKB,2021-09-06,2021-09-22,111265.046237304,2.8936605007483056,1.9291070004988704,0.030305620524436836,89.01203698984321,44.506018494921605,3371.956268901654,3238.438213416889,1321771.4938316606
ARCLK-KCHOL,2021-08-18,2021-09-28,104713.97316162904,2.131610616450364,1.4210737443002426,-0.012884132181458969,83.77117852930323,41.885589264651614,-1349.1486714601754,-1474.80543925413,1324977.0439641294
FROTO-GARAN,2021-08-26,2021-09-29,111919.94280998355,2.1869630499598833,1.4579753666399222,0.03591031678096752,89.53595424798685,44.767977123993425,4019.080600414277,3884.776669042297,1329646.294239022
CIMSA-YKBNK,2021-09-07,2021-10-01,81325.16001430292,-1.5501402984170358,1.0334268656113572,0.11336417814797292,65.06012801144234,32.53006400572117,9219.359927773841,9121.769735756678,1340333.3680059414
BRSAN-GARAN,2021-09-17,2021-10-07,89143.23874364603,-1.6817961544789117,1.1211974363192745,-0.04178149498991821,71.31459099491683,35.65729549745841,-3724.5377829527297,-3831.509669445105,1341021.481222817
CCOLA-HALKB,2021-09-03,2021-10-08,151703.8236067475,-3.097971636378783,2.0,-0.05048045319354558,121.363058885398,60.681529442699,-7658.077766862311,-7840.122355190409,1333930.7648933737
AKBNK-KONTR,2021-09-21,2021-10-12,112788.45503240058,-2.1394862090208284,1.426324139347219,-0.014595684564046325,90.23076402592046,45.11538201296023,-1646.2247121190421,-1781.5708581579229,1335125.0588367663
ARCLK-KCHOL,2021-10-04,2021-10-12,93238.8498580116,-4.198885343845541,2.0,-0.018742204667708786,74.59107988640929,37.295539943204645,-1747.5016070206236,-1859.3882268502375,1333265.670609916
CIMSA-YKBNK,2021-10-08,2021-10-12,119038.87141055515,2.2309791959118357,1.4873194639412237,0.04299134143385899,95.23109712844412,47.61554856422206,5117.640764712412,4974.794119019746,1338240.4647289359
SASA-TTKOM,2021-08-25,2021-10-14,153438.44077338208,3.019766455523017,2.0,0.03063916575500674,122.75075261870568,61.37537630935284,4701.225820045438,4517.09969111738,1344198.7563142632
EGEEN-GARAN,2021-08-25,2021-10-14,100643.30946886248,1.9677593625479874,1.3118395750319916,0.04779473390146767,80.51464757509,40.257323787545,4810.220195027344,4689.448223664709,1348888.2045379279
FROTO-KCHOL,2021-09-23,2021-10-27,89136.80217798821,1.6849599714972938,1.1233066476648625,-0.15161411410614925,71.30944174239058,35.65472087119529,-13514.397296470757,-13621.361459084343,1345027.5878171953
BRSAN-GARAN,2021-10-14,2021-10-27,117326.91990395387,2.1745115627307516,1.4496743751538343,-0.0663075149899484,93.8615359231631,46.93076796158155,-7779.656500255896,-7920.448804140641,1337107.1390130548
CIMSA-TCELL,2021-09-30,2021-10-28,117257.86149703687,-2.7617972650948865,1.8411981767299244,0.11372200500871861,93.8062891976295,46.90314459881475,13334.79911247766,13194.089678681215,1351052.8085448176
TSKB-TTRAK,2021-09-09,2021-11-01,86691.560473658,-2.3792678013508444,1.5861785342338963,0.025388819458547058,69.35324837892641,34.676624189463205,2200.9963774454172,2096.9665048770275,1356149.2984719442
SASA-SOKM,2021-09-23,2021-11-02,123614.00235606452,-2.336685193963302,1.557790129308868,0.028021256041467116,98.89120188485163,49.44560094242581,3463.8196103298033,3315.482807502526,1360152.061447611
CCOLA-ODAS,2021-10-27,2021-11-10,160452.85668156657,3.9410737274047714,2.0,-0.0572424073957562,128.36228534525327,64.18114267262663,-9184.707789979117,-9377.251217996996,1356297.8170335772
BRSAN-GARAN,2021-11-01,2021-11-12,162737.9158166333,-4.96011115532075,2.0,0.020223129428430277,130.19033265330663,65.09516632665331,3291.069934472766,3095.784435492806,1360747.8728304785
SISE-TTKOM,2021-09-28,2021-11-15,114830.9111687863,2.5847069785558903,1.7231379857039268,0.016337856172598503,91.86472893502905,45.932364467514525,1876.0909108440658,1738.2938174415222,1364491.5990423078
FROTO-SAHOL,2021-10-15,2021-11-19,161952.3913109464,-3.595704309036673,2.0,0.2637461235407738,129.56191304875713,64.78095652437857,42714.31540642062,42519.97253684748,1409710.4795052344
GUBRF-TOASO,2021-09-22,2021-11-30,83241.8564590246,-1.5744373525887636,1.0496249017258423,0.6200155365242028,66.59348516721968,33.29674258360984,51611.244293712814,51511.35406596198,1468993.817268823
CIMSA-YKBNK,2021-10-19,2021-12-08,94405.65186216039,1.744973316390785,1.1633155442605234,0.13580241259101572,75.52452148972831,37.76226074486416,12820.515285108897,12707.228502874304,1487252.5714686145
TSKB-TTRAK,2021-11-17,2021-12-08,152326.0151165331,-2.7881862271688402,1.85879081811256,-0.14683305264023874,121.86081209322647,60.930406046613236,-22366.493796083705,-22549.285014223544,1464703.286454391
CCOLA-ODAS,2021-11-18,2021-12-13,95761.92947025801,-1.7519561167400401,1.16797074449336,0.007442112358632427,76.6095435762064,38.3047717881032,712.671038797094,597.7567234327844,1468737.677515955
AKBNK-KONTR,2021-10-18,2021-12-16,111413.8360309911,-2.0604900784395275,1.3736600522930182,0.4845878304851449,89.13106882479288,44.56553441239644,53989.789088285645,53856.09248504846,1524700.280621647
DOAS-FROTO,2021-11-01,2021-12-21,90762.24314855343,-2.4644629212295515,1.642975280819701,0.40389965105899334,72.60979451884275,36.304897259421374,36658.83833703224,36549.92364525398,1564886.4340391664
BRSAN-GARAN,2021-12-10,2021-12-27,125867.34279409057,-2.146357440612978,1.4309049604086521,-0.09128052477275152,100.69387423527246,50.34693711763623,-11489.237101996392,-11640.2779133493,1557715.1428863679
SASA-SOKM,2021-11-17,2021-12-28,163897.96380768318,-3.268334083706957,2.0,0.4719361552299365,131.11837104614654,65.55918552307327,77349.37488941327,77152.69733284405,1635603.3032918633
TKFEN-YKBNK,2021-12-10,2021-12-31,142523.4522635684,-2.4303863531003285,1.6202575687335523,-0.11226034933671802,114.01876181085474,57.00938090542737,-15999.732539783245,-16170.760682499526,1621707.8821787755
CCOLA-HALKB,2021-12-23,2022-01-04,100829.48562497763,-1.6092892747299044,1.0728595164866028,0.04010853547611021,80.66358849998211,40.331794249991056,4044.1230012273595,3923.127618477386,1628504.1143216423
FROTO-GARAN,2021-11-02,2022-01-05,127536.7100722179,-5.348059960084874,2.0,0.2731580368698323,102.02936805777432,51.01468402888716,34837.67735216401,34684.63330007735,1663892.4558906828
FROTO-SAHOL,2021-12-07,2022-01-07,112419.2719364419,-1.9068986829121144,1.2712657886080763,-0.049267608546448745,89.93541754915353,44.967708774576764,-5538.62868284139,-5673.531809165121,1659667.9382823368
EGEEN-GARAN,2021-10-19,2022-01-10,76289.71196581669,-4.88811618019268,2.0,0.36366454784378915,61.03176957265336,30.51588478632668,27743.86360718164,27652.31595282266,1689470.6610697773
EKGYO-HALKB,2021-10-18,2022-01-11,149324.9357019621,2.761618838722397,1.8410792258149316,-0.1857791577719441,119.45994856156968,59.72997428078484,-27741.460789060224,-27920.650711902577,1662285.2453048977
ODAS-PGSUS,2021-12-13,2022-01-13,130090.6558998229,-2.2143276143062267,1.4762184095374844,-0.14190814364064575,104.07252471985832,52.03626235992916,-18460.923483737886,-18617.03227081767,1645127.6344284997
DOAS-FROTO,2021-12-31,2022-01-26,132112.65222177477,2.0366283853211673,1.3577522568807783,-0.07210925668666829,105.69012177741982,52.84506088870991,-9526.545150616494,-9685.080333282624,1645045.236170171
GUBRF-TOASO,2022-01-17,2022-01-28,55741.266138292616,2.2090678071007352,1.47271187140049,0.08417989294839964,44.593012910634094,22.296506455317047,4692.293816329727,4625.404296963776,1651133.0576054198
AKBNK-FROTO,2022-01-05,2022-01-31,130251.38870477573,-1.9570283560642157,1.304685570709477,0.12647727729059044,104.2011109638206,52.1005554819103,16473.8410066984,16317.53934025267,1669642.6790181934
PETKM-PGSUS,2022-01-11,2022-02-01,141778.26241923985,-2.1322793849565027,1.4215195899710018,-0.08482926348532703,113.42260993539189,56.711304967695945,-12026.945579253537,-12197.079494156626,1658194.7971399608
SISE-TTKOM,2021-11-22,2022-02-14,129224.05995828776,-2.288273023374582,1.525515348916388,0.10255847723865677,103.37924796663022,51.68962398331511,13253.022811918872,13097.953939968927,1680988.491245554
CIMSA-OYAKC,2022-01-13,2022-02-14,141682.37497669517,2.153060528733902,1.4353736858226014,0.06090925868262408,113.34589998135614,56.67294999067807,8629.768428224072,8459.749578252038,1689448.240823806
BRSAN-HEKTS,2022-01-31,2022-02-18,200357.1214821832,-4.441104702228138,2.0,0.049892188753888074,160.28569718574656,80.14284859287328,9996.255323174768,9755.826777396147,1702208.5278023249
CCOLA-ODAS,2021-12-17,2022-02-24,166961.36270941838,4.690808276753898,2.0,-0.11565294738272645,133.5690901675347,66.78454508376736,-19309.57369638067,-19509.92733163197,1687285.989841115
GUBRF-TOASO,2022-02-14,2022-02-24,107030.56143101041,1.583809418435044,1.0558729456233626,0.042788305691407416,85.62444914480834,42.81222457240417,4579.656380833034,4451.219707115821,1691737.2095482307
EKGYO-ENJSA,2022-01-10,2022-02-25,202736.47932837327,3.1421886510374843,2.0,0.10537676016661941,162.18918346269862,81.09459173134931,21363.713359210786,21120.429584016736,1713602.2608839774
KOZAL-TKFEN,2022-02-16,2022-02-28,119159.83221164258,1.7617360372851731,1.1744906915234488,0.024190512377407075,95.32786576931407,47.66393288465704,2882.5373960054903,2739.545597351519,1718569.036038743
OYAKC-TUPRS,2022-02-28,2022-03-02,206228.28432464917,-3.741968157870242,2.0,0.0014743897165363422,164.98262745971934,82.49131372985967,304.0608616671957,56.58692047761669,1720123.6422700135
GUBRF-TCELL,2021-12-13,2022-03-07,80012.7403862,1.9552452313162123,1.3034968208774749,0.09482306644077203,64.01019230896001,32.00509615448001,7587.053397748887,7491.038109285447,1731432.4576685184
BRSAN-HEKTS,2022-03-02,2022-03-16,140911.864808511,-2.0479903500214722,1.365326900014315,0.021373250251087154,112.7294918468088,56.3647459234044,3011.7445498996667,2842.6503121294536,1741278.4763251361
FROTO-TCELL,2022-01-14,2022-03-21,116140.24110632412,1.7641306797911767,1.1760871198607845,0.08866763177618367,92.9121928850593,46.45609644252965,10297.880132812737,10158.511843485148,1755305.3900260818
OYAKC-TUPRS,2022-03-07,2022-03-23,170333.0453888799,2.9693270468407666,1.9795513645605112,-0.32739455496065567,136.26643631110392,68.13321815555196,-55766.111590185494,-55970.51124465215,1700910.3253599652
BIMAS-DOHOL,2022-02-18,2022-03-24,148231.68591747,2.1770494551106485,1.451366303407099,-0.009700130022921055,118.585348733976,59.292674366988,-1437.8666269162547,-1615.7446500172186,1700057.8086608588
EKGYO-ENJSA,2022-03-02,2022-03-25,186699.1694882973,-2.7134556624359005,1.8089704416239336,0.029040063228578994,149.35933559063787,74.67966779531893,5421.75568666334,5197.716683277384,1706018.1706614
TCELL-ULKER,2022-01-05,2022-03-30,118900.92879727879,1.7864875878295725,1.190991725219715,-0.26625686251645636,95.12074303782303,47.560371518911516,-31658.188251856023,-31800.869366412757,1678035.098845298
GUBRF-TOASO,2022-03-04,2022-03-30,206596.34764982612,6.7268656658598704,2.0,0.01856345744093629,165.2770781198609,82.63853905993045,3835.142507050425,3587.226889870634,1681622.3257351685
BIMAS-KONTR,2022-02-01,2022-03-31,130559.33817857213,3.389395899257108,2.0,-0.1182471435443179,104.4474705428577,52.22373527142885,-15438.268802652763,-15594.94000846705,1666769.0170233797
BIMAS-EGEEN,2022-03-23,2022-03-31,118266.53567106686,-2.204455255274869,1.4696368368499126,-0.016982821228713675,94.61322853685348,47.30661426842674,-2008.4994326410174,-2150.4192754462974,1664618.5977479334
EGEEN-PETKM,2022-01-31,2022-04-04,138895.1345755527,2.1155351000311033,1.410356733354069,0.0901724542441649,111.11610766044218,55.55805383022109,12524.515167251153,12357.841005760489,1679924.780507468
CIMSA-OYAKC,2022-02-18,2022-04-04,139974.93290615964,2.41018825336279,1.6067921689085267,0.05966449057588853,111.97994632492771,55.989973162463855,8351.533065240192,8183.563145752801,1688108.3436532207
TTKOM-TUPRS,2022-01-12,2022-04-06,199561.1196982761,3.0428598959340434,2.0,0.1991621329907308,159.64889575862088,79.82444787931044,39745.01826112721,39505.54491748928,1729114.9152604837
KOZAL-SISE,2022-03-24,2022-04-06,143754.34709138292,-2.1139626305504677,1.4093084203669786,-0.04698017457908006,115.00347767310635,57.50173883655317,-6753.60432285484,-6926.109539364499,1722188.8057211193
AKBNK-FROTO,2022-03-21,2022-04-11,150160.00421798363,2.1386592480034547,1.425772832002303,-0.2286908057368586,120.1280033743869,60.06400168719345,-34340.212354060764,-34520.404359122345,1691535.3339237077
BRSAN-HEKTS,2022-03-25,2022-04-13,149530.02763585816,2.191213877544566,1.4608092516963775,0.018654195131113674,119.62402210868653,59.812011054343266,2789.3623134801182,2609.9262803170886,1695657.0405823095
EKGYO-ENJSA,2022-04-05,2022-04-13,102313.9555100518,1.514549270268328,1.0096995135122186,-0.05063756984795275,81.85116440804144,40.92558220402072,-5180.930068560579,-5303.706815172641,1690353.3337671368
TCELL-ULKER,2022-03-31,2022-04-14,199754.231729752,3.8603229026179537,2.0,-0.11939767386338578,159.8033853838016,79.9016926919008,-23850.190612900118,-24089.89569097582,1667008.1960683737
BIMAS-DOHOL,2022-04-04,2022-04-18,202573.00123838647,-4.1919043265776,2.0,-0.021246983181274222,162.05840099070917,81.02920049535459,-4304.065150292239,-4547.152751778302,1665398.559508303
SASA-SOKM,2022-03-21,2022-04-21,129046.9217522825,1.837955413421892,1.2253036089479281,-0.19199287079208277,103.237537401826,51.618768700913,-24776.08897410199,-24930.945280204727,1642705.6931205664
KOZAL-TKFEN,2022-04-06,2022-04-29,206662.65668653432,-4.679334613885749,2.0,0.13543806958033094,165.33012534922747,82.66506267461374,27989.99127596688,27741.99608794304,1676347.1611439516
SAHOL-YKBNK,2022-04-06,2022-05-05,169323.31740513176,-2.874748086247124,1.9164987241647493,0.011990195576702029,135.45865392410542,67.72932696205271,2030.2196913835244,1827.0317104973662,1682613.049184436
PETKM-TSKB,2022-04-18,2022-05-05,165815.38772275252,-2.4891247019528517,1.659416467968568,0.02825227826442131,132.65231017820201,66.32615508910101,4684.662474466113,4485.68400919881,1687098.7331936348
PETKM-PGSUS,2022-04-12,2022-05-06,120856.97495001962,-3.3265331125788573,2.0,-0.08706092237776394,96.6855799600157,48.34278998000785,-10521.91971493502,-10666.948084875045,1677156.6965610927
BIMAS-KONTR,2022-04-05,2022-05-11,158207.55937012308,-3.497319211657452,2.0,-0.01660781715916992,126.56604749609848,63.28302374804924,-2627.4822192175243,-2817.3312904616723,1677929.8410083987
FROTO-TCELL,2022-04-01,2022-05-13,107482.2160117472,-1.6135071183174168,1.075671412211611,0.03432848604153904,85.98577280939776,42.99288640469888,3689.701752072948,3560.7230928588515,1682927.425373333
