Stock 1,Stock 2
CIMSA,YKBNK
AKBNK,KONTR
EKGYO,TAVHL
GUBRF,TOASO
CCOLA,ODAS
EKGYO,HALKB
CCOLA,HALKB
SASA,TTKOM
BRSAN,GARAN
EGEEN,GARAN
ENKAI,EREGL
FROTO,KCHOL
DOAS,FROTO
MGROS,PGSUS
FROTO,SAHOL
SASA,SOKM
ARCLK,KCHOL
ODAS,PGSUS
GUBRF,TCELL
TAVHL,TCELL
TSKB,TTRAK
SISE,TTKOM
CIMSA,TCELL
FROTO,GARAN
TKFEN,YKBNK
