Stock 1,Stock 2
CCOLA,ENKAI
THYAO,TTRAK
CCOLA,DOHOL
EKGYO,SASA
DOAS,EKGYO
CCOLA,EGEEN
TSKB,ZOREN
ENKAI,ZOREN
SOKM,THYAO
GARAN,TCELL
SOKM,TCELL
CCOLA,TSKB
AEFES,BRSAN
ENJSA,GUBRF
AEFES,TTKOM
ENKAI,VESTL
AEFES,PETKM
ENKAI,KOZAA
ALARK,TKFEN
PGSUS,TAVHL
ODAS,TKFEN
DOAS,SASA
BIMAS,KOZAL
CCOLA,FROTO
BIMAS,DOHOL
