Pair
AEFES-EREGL
AEFES-GARAN
AEFES-HEKTS
AEFES-ISCTR
AEFES-MGROS
AEFES-ODAS
AEFES-OYAKC
AEFES-SAHOL
AEFES-TSKB
AEFES-TUPRS
AEFES-ZOREN
AKBNK-BIMAS
AKBNK-EKGYO
AKBNK-ENJSA
AKBNK-GARAN
AKBNK-HALKB
AKBNK-ISCTR
AKBNK-KCAER
AKBNK-KOZAA
AKBNK-MIATK
AKBNK-SASA
AKBNK-ZOREN
AKSEN-ISCTR
AKSEN-TSKB
AKSEN-ZOREN
ALARK-BRSAN
ALARK-KCAER
ALARK-ODAS
ALARK-SAHOL
ALARK-SASA
ALARK-TSKB
ARCLK-HALKB
ARCLK-KCAER
ARCLK-ZOREN
ASELS-HALKB
ASELS-SAHOL
ASELS-SISE
ASELS-SOKM
ASELS-THYAO
ASELS-TTRAK
ASELS-ULKER
BIMAS-GARAN
BIMAS-GUBRF
BIMAS-HALKB
BIMAS-ISCTR
BIMAS-KOZAA
BIMAS-MIATK
BIMAS-PETKM
BIMAS-TSKB
BIMAS-YKBNK
BRSAN-DOHOL
BRSAN-EKGYO
BRSAN-FROTO
BRSAN-GARAN
BRSAN-HALKB
BRSAN-ISCTR
BRSAN-SAHOL
BRSAN-SASA
BRSAN-TAVHL
BRSAN-TSKB
BRSAN-VAKBN
BRSAN-YKBNK
CCOLA-EKGYO
CCOLA-HALKB
CCOLA-ODAS
CCOLA-PETKM
CCOLA-TCELL
CCOLA-TTKOM
CCOLA-TTRAK
CCOLA-ULKER
CCOLA-ZOREN
CIMSA-DOAS
CIMSA-GUBRF
CIMSA-HALKB
CIMSA-ISCTR
CIMSA-KOZAA
CIMSA-KOZAL
CIMSA-PETKM
CIMSA-SAHOL
CIMSA-TOASO
CIMSA-TUPRS
CIMSA-VAKBN
DOAS-HALKB
DOAS-HEKTS
DOAS-ISCTR
DOAS-KCHOL
DOAS-PGSUS
DOAS-SISE
DOAS-TSKB
DOAS-TTKOM
DOAS-TUPRS
DOAS-ULKER
DOAS-VAKBN
DOHOL-EGEEN
DOHOL-EKGYO
DOHOL-ENJSA
DOHOL-HALKB
DOHOL-ISCTR
DOHOL-KCAER
DOHOL-KOZAA
DOHOL-PETKM
DOHOL-SOKM
DOHOL-TSKB
DOHOL-VAKBN
EGEEN-ENJSA
EGEEN-SASA
EGEEN-TSKB
EKGYO-HALKB
EKGYO-ISCTR
EKGYO-KCAER
EKGYO-PGSUS
EKGYO-SASA
EKGYO-SISE
EKGYO-SOKM
EKGYO-TCELL
EKGYO-TSKB
EKGYO-TTRAK
EKGYO-ZOREN
ENJSA-EREGL
ENJSA-HALKB
ENJSA-KCHOL
ENJSA-SISE
ENJSA-SOKM
ENJSA-TSKB
ENJSA-TTKOM
ENJSA-VAKBN
ENJSA-VESTL
ENJSA-ZOREN
ENKAI-SAHOL
ENKAI-TSKB
ENKAI-YKBNK
EREGL-FROTO
EREGL-HALKB
EREGL-KONTR
EREGL-KOZAA
EREGL-KOZAL
EREGL-TKFEN
EREGL-TTKOM
EREGL-VAKBN
FROTO-GARAN
FROTO-HALKB
FROTO-KCHOL
FROTO-KONTR
FROTO-KOZAA
FROTO-PETKM
FROTO-VAKBN
GARAN-HALKB
GARAN-ISCTR
GARAN-VAKBN
GARAN-ZOREN
GUBRF-HALKB
GUBRF-MIATK
GUBRF-PETKM
GUBRF-SASA
GUBRF-TSKB
GUBRF-VAKBN
HALKB-HEKTS
HALKB-ISCTR
HALKB-KCAER
HALKB-KCHOL
HALKB-KONTR
HALKB-MIATK
HALKB-ODAS
HALKB-SAHOL
HALKB-SASA
HALKB-SISE
HALKB-SOKM
HALKB-VESTL
HALKB-YKBNK
HALKB-ZOREN
HEKTS-ISCTR
HEKTS-MIATK
HEKTS-TSKB
ISCTR-KCAER
ISCTR-KONTR
ISCTR-SISE
ISCTR-SOKM
ISCTR-VAKBN
ISCTR-YKBNK
ISCTR-ZOREN
KCAER-KOZAA
KCAER-MIATK
KCAER-OYAKC
KCAER-PGSUS
KCAER-SASA
KCAER-SOKM
KCAER-ULKER
KCAER-VAKBN
KCHOL-KOZAA
KCHOL-PETKM
KCHOL-SASA
KCHOL-TUPRS
KCHOL-ZOREN
KONTR-TSKB
KONTR-TTKOM
KONTR-ULKER
KONTR-VAKBN
KONTR-ZOREN
KOZAA-SASA
KOZAL-SASA
KRDMD-PGSUS
KRDMD-SASA
KRDMD-SISE
KRDMD-TCELL
KRDMD-TKFEN
MIATK-ODAS
MIATK-PETKM
MIATK-SASA
MIATK-SISE
MIATK-TSKB
MIATK-TTRAK
MIATK-ULKER
MIATK-VAKBN
MIATK-VESTL
MIATK-YKBNK
ODAS-SASA
ODAS-TSKB
ODAS-VAKBN
OYAKC-SAHOL
OYAKC-TKFEN
OYAKC-TTRAK
PETKM-SAHOL
PETKM-SISE
PETKM-SOKM
PETKM-TCELL
PETKM-TOASO
PETKM-TUPRS
PETKM-VAKBN
PETKM-YKBNK
PETKM-ZOREN
PGSUS-SASA
PGSUS-SISE
PGSUS-TSKB
PGSUS-TTRAK
SAHOL-SASA
SAHOL-SOKM
SAHOL-TSKB
SAHOL-TTKOM
SAHOL-TUPRS
SAHOL-VAKBN
SAHOL-ZOREN
SASA-TSKB
SASA-ZOREN
SISE-TSKB
SOKM-ZOREN
TAVHL-TSKB
TAVHL-YKBNK
TCELL-TOASO
TCELL-ULKER
TCELL-VESTL
TCELL-YKBNK
TCELL-ZOREN
THYAO-TKFEN
THYAO-VAKBN
TKFEN-TOASO
TOASO-TUPRS
TOASO-ZOREN
TSKB-TTKOM
TSKB-TTRAK
TSKB-TUPRS
TSKB-ULKER
TSKB-VAKBN
TTRAK-VAKBN
TTRAK-ZOREN
TUPRS-VAKBN
ULKER-VAKBN
ULKER-VESTL
VAKBN-YKBNK
VAKBN-ZOREN
VESTL-ZOREN
YKBNK-ZOREN
