Pair
AEFES-ASELS
AEFES-CIMSA
AEFES-DOAS
AEFES-DOHOL
AEFES-HALKB
AEFES-HEKTS
AEFES-KOZAA
AEFES-OYAKC
AEFES-SASA
AEFES-TSKB
AEFES-VESTL
AKBNK-AKSEN
AKBNK-HALKB
AKBNK-HEKTS
AKBNK-ISCTR
AKBNK-KOZAA
AKBNK-KOZAL
AKBNK-ODAS
AKBNK-PGSUS
AKBNK-SOKM
AKBNK-TSKB
AKBNK-TTKOM
AKBNK-TUPRS
AKBNK-ULKER
AKBNK-ZOREN
AKSEN-ALARK
AKSEN-ARCLK
AKSEN-ASELS
AKSEN-BIMAS
AKSEN-CCOLA
AKSEN-DOHOL
AKSEN-ENKAI
AKSEN-GARAN
AKSEN-HALKB
AKSEN-HEKTS
AKSEN-KOZAA
AKSEN-KOZAL
AKSEN-KRDMD
AKSEN-MGROS
AKSEN-SAHOL
AKSEN-SISE
AKSEN-TCELL
AKSEN-TTKOM
AKSEN-TUPRS
AKSEN-ULKER
AKSEN-VAKBN
AKSEN-YKBNK
ALARK-DOAS
ALARK-DOHOL
ALARK-SASA
ALARK-TSKB
ALARK-TTKOM
ALARK-TUPRS
ALARK-ULKER
ALARK-VAKBN
ALARK-ZOREN
ARCLK-BRSAN
ARCLK-CIMSA
ARCLK-EGEEN
ARCLK-EKGYO
ARCLK-FROTO
ARCLK-HALKB
ARCLK-KOZAA
ARCLK-KRDMD
ARCLK-OYAKC
ARCLK-SOKM
ARCLK-TSKB
ASELS-CIMSA
ASELS-DOAS
ASELS-DOHOL
ASELS-EKGYO
ASELS-HEKTS
ASELS-TCELL
ASELS-TSKB
ASELS-ZOREN
BIMAS-FROTO
BIMAS-HEKTS
BIMAS-KCHOL
BIMAS-SAHOL
BIMAS-TKFEN
BIMAS-ZOREN
BRSAN-EGEEN
BRSAN-ENJSA
BRSAN-FROTO
BRSAN-HEKTS
BRSAN-ODAS
BRSAN-PETKM
BRSAN-TSKB
BRSAN-TTRAK
BRSAN-YKBNK
CCOLA-ISCTR
CCOLA-ULKER
CCOLA-ZOREN
CIMSA-HEKTS
CIMSA-KOZAA
CIMSA-SOKM
CIMSA-TSKB
CIMSA-TTRAK
DOAS-ENJSA
DOAS-GUBRF
DOAS-HALKB
DOAS-HEKTS
DOAS-KCHOL
DOAS-KOZAA
DOAS-KOZAL
DOAS-KRDMD
DOAS-PETKM
DOAS-SISE
DOAS-SOKM
DOAS-TKFEN
DOAS-TTKOM
DOAS-ULKER
DOAS-VAKBN
DOAS-ZOREN
DOHOL-EKGYO
DOHOL-OYAKC
DOHOL-SOKM
DOHOL-VESTL
EGEEN-EKGYO
EGEEN-HEKTS
EGEEN-ODAS
EGEEN-OYAKC
EGEEN-TUPRS
EGEEN-ULKER
EGEEN-ZOREN
EKGYO-ISCTR
EKGYO-KOZAA
EKGYO-MGROS
EKGYO-OYAKC
EKGYO-SISE
EKGYO-TOASO
EKGYO-TSKB
EKGYO-TTKOM
EKGYO-ULKER
EKGYO-VAKBN
ENJSA-ENKAI
ENJSA-OYAKC
ENJSA-TSKB
ENJSA-TUPRS
ENJSA-VAKBN
ENJSA-YKBNK
ENJSA-ZOREN
ENKAI-FROTO
ENKAI-HALKB
ENKAI-HEKTS
ENKAI-KRDMD
ENKAI-PGSUS
ENKAI-TUPRS
ENKAI-VAKBN
EREGL-FROTO
EREGL-GUBRF
EREGL-OYAKC
EREGL-PETKM
EREGL-SOKM
EREGL-TUPRS
EREGL-ULKER
FROTO-TSKB
FROTO-ULKER
FROTO-ZOREN
GARAN-ISCTR
GARAN-KOZAA
GARAN-KOZAL
GARAN-OYAKC
GARAN-THYAO
GARAN-TKFEN
GARAN-TSKB
GARAN-ZOREN
GUBRF-HEKTS
GUBRF-ISCTR
GUBRF-KCHOL
GUBRF-SASA
GUBRF-TSKB
GUBRF-ZOREN
HALKB-HEKTS
HALKB-KOZAA
HALKB-PETKM
HALKB-SASA
HALKB-SISE
HALKB-SOKM
HALKB-TCELL
HALKB-THYAO
HALKB-TTKOM
HEKTS-ISCTR
HEKTS-TSKB
HEKTS-ZOREN
ISCTR-KOZAA
ISCTR-KOZAL
ISCTR-ODAS
ISCTR-OYAKC
ISCTR-SOKM
ISCTR-TSKB
ISCTR-TUPRS
ISCTR-ULKER
ISCTR-ZOREN
KCHOL-OYAKC
KCHOL-SOKM
KCHOL-TUPRS
KOZAA-MGROS
KOZAA-TOASO
KOZAA-TTRAK
KOZAL-SASA
KOZAL-ULKER
KRDMD-PETKM
KRDMD-SISE
KRDMD-SOKM
KRDMD-TCELL
KRDMD-TSKB
KRDMD-TUPRS
KRDMD-VAKBN
MGROS-TSKB
MGROS-TUPRS
ODAS-TSKB
OYAKC-SOKM
OYAKC-TKFEN
OYAKC-TSKB
PETKM-TUPRS
PGSUS-SASA
PGSUS-SOKM
PGSUS-TUPRS
SAHOL-SASA
SAHOL-TUPRS
SAHOL-VAKBN
SAHOL-ZOREN
SASA-TCELL
SASA-TSKB
SASA-ZOREN
SISE-TSKB
SISE-TTRAK
SOKM-ULKER
SOKM-ZOREN
TAVHL-ULKER
THYAO-ULKER
TKFEN-TSKB
TOASO-TUPRS
TSKB-TTKOM
TSKB-TUPRS
TSKB-VAKBN
TSKB-YKBNK
TTKOM-TUPRS
TTKOM-VAKBN
TTRAK-ZOREN
TUPRS-ZOREN
VAKBN-ZOREN
VESTL-ZOREN
YKBNK-ZOREN
