Pair
AEFES-ASELS
AEFES-BIMAS
AEFES-CIMSA
AEFES-DOAS
AEFES-HEKTS
AEFES-KOZAA
AEFES-OYAKC
AEFES-SASA
AEFES-VAKBN
AKBNK-ARCLK
AKBNK-ASELS
AKBNK-DOAS
AKBNK-GARAN
AKBNK-HALKB
AKBNK-HEKTS
AKBNK-KCHOL
AKBNK-KOZAL
AKBNK-PGSUS
AKBNK-SASA
AKBNK-TTKOM
AKBNK-ZOREN
AKSEN-BIMAS
AKSEN-CCOLA
AKSEN-DOHOL
AKSEN-SAHOL
AKSEN-SASA
AKSEN-SISE
AKSEN-SOKM
AKSEN-TCELL
AKSEN-TTKOM
AKSEN-TUPRS
AKSEN-ULKER
AKSEN-VAKBN
ALARK-CIMSA
ALARK-DOAS
ALARK-DOHOL
ALARK-ENKAI
ALARK-KCHOL
ALARK-SAHOL
ALARK-TCELL
ALARK-TOASO
ALARK-TTKOM
ALARK-TUPRS
ALARK-ULKER
ALARK-YKBNK
ALARK-ZOREN
ARCLK-ASELS
ARCLK-CCOLA
ARCLK-CIMSA
ARCLK-HALKB
ARCLK-KOZAA
ARCLK-KOZAL
ARCLK-KRDMD
ARCLK-SASA
ARCLK-VAKBN
ASELS-DOHOL
ASELS-ENKAI
ASELS-HEKTS
ASELS-MGROS
ASELS-SAHOL
ASELS-SASA
ASELS-TCELL
ASELS-TOASO
ASELS-TTRAK
ASELS-VAKBN
ASELS-ZOREN
BIMAS-HEKTS
BIMAS-SASA
BIMAS-SOKM
BIMAS-ULKER
BIMAS-ZOREN
BRSAN-DOHOL
BRSAN-EGEEN
BRSAN-ENJSA
BRSAN-ENKAI
BRSAN-HEKTS
BRSAN-OYAKC
BRSAN-PETKM
BRSAN-TSKB
BRSAN-TTKOM
BRSAN-TTRAK
BRSAN-TUPRS
BRSAN-YKBNK
BRSAN-ZOREN
CCOLA-DOAS
CCOLA-THYAO
CCOLA-ZOREN
CIMSA-DOAS
CIMSA-DOHOL
CIMSA-EREGL
CIMSA-GUBRF
CIMSA-KOZAA
CIMSA-TCELL
CIMSA-THYAO
CIMSA-TSKB
CIMSA-TTKOM
DOAS-ENKAI
DOAS-GARAN
DOAS-HEKTS
DOAS-KCHOL
DOAS-KOZAA
DOAS-PETKM
DOAS-SAHOL
DOAS-SISE
DOAS-SOKM
DOAS-ZOREN
DOHOL-EGEEN
DOHOL-EKGYO
DOHOL-EREGL
DOHOL-FROTO
DOHOL-ISCTR
DOHOL-KOZAL
DOHOL-KRDMD
DOHOL-PETKM
DOHOL-PGSUS
DOHOL-THYAO
DOHOL-TKFEN
DOHOL-TTKOM
EGEEN-EKGYO
EGEEN-ODAS
EGEEN-PETKM
EGEEN-SASA
EGEEN-TOASO
EGEEN-TSKB
EGEEN-TUPRS
EGEEN-VAKBN
EGEEN-ZOREN
EKGYO-GARAN
EKGYO-KCHOL
EKGYO-OYAKC
EKGYO-PETKM
EKGYO-PGSUS
EKGYO-SISE
EKGYO-SOKM
EKGYO-TAVHL
EKGYO-THYAO
EKGYO-TOASO
EKGYO-TTRAK
EKGYO-ULKER
ENJSA-OYAKC
ENJSA-TOASO
ENJSA-YKBNK
ENKAI-TUPRS
ENKAI-VAKBN
EREGL-PETKM
EREGL-SISE
EREGL-SOKM
EREGL-TTRAK
FROTO-KOZAL
FROTO-PETKM
GARAN-GUBRF
GARAN-HALKB
GARAN-KOZAL
GARAN-ODAS
GARAN-TOASO
GARAN-ZOREN
GUBRF-HEKTS
GUBRF-ZOREN
HALKB-KCHOL
HALKB-KOZAA
HALKB-SAHOL
HALKB-SASA
HALKB-TCELL
HALKB-TTKOM
HEKTS-ISCTR
HEKTS-OYAKC
HEKTS-SASA
HEKTS-ZOREN
ISCTR-KCHOL
ISCTR-ODAS
ISCTR-SASA
ISCTR-TAVHL
ISCTR-TOASO
ISCTR-TUPRS
ISCTR-ZOREN
KCHOL-ODAS
KCHOL-OYAKC
KCHOL-SAHOL
KCHOL-TOASO
KCHOL-VAKBN
KCHOL-ZOREN
KOZAA-KRDMD
KOZAA-MGROS
KOZAA-OYAKC
KOZAA-PETKM
KOZAA-TAVHL
KOZAA-ZOREN
KOZAL-MGROS
KOZAL-TKFEN
KOZAL-TTRAK
KOZAL-TUPRS
KOZAL-ULKER
KOZAL-VAKBN
KRDMD-MGROS
KRDMD-PETKM
KRDMD-PGSUS
KRDMD-TAVHL
KRDMD-TSKB
KRDMD-TTRAK
MGROS-OYAKC
MGROS-TUPRS
ODAS-SASA
ODAS-TSKB
ODAS-TTKOM
ODAS-VAKBN
OYAKC-PGSUS
OYAKC-TSKB
PETKM-SAHOL
PETKM-SISE
PETKM-TCELL
PETKM-TOASO
PETKM-TTKOM
PETKM-TTRAK
PETKM-TUPRS
PETKM-ULKER
PETKM-VAKBN
PETKM-YKBNK
PGSUS-SASA
PGSUS-SOKM
PGSUS-TCELL
PGSUS-TUPRS
PGSUS-VAKBN
PGSUS-VESTL
PGSUS-YKBNK
SAHOL-SASA
SAHOL-SISE
SAHOL-VAKBN
SAHOL-ZOREN
SASA-TSKB
SISE-TAVHL
SISE-THYAO
SISE-TOASO
SISE-TTRAK
TAVHL-ULKER
TCELL-VAKBN
THYAO-VAKBN
TOASO-TTKOM
TOASO-TUPRS
TSKB-TUPRS
TSKB-VESTL
TTKOM-TUPRS
TTRAK-VAKBN
VAKBN-ZOREN
VESTL-YKBNK
YKBNK-ZOREN
