Pair
AEFES-ASELS
AEFES-EKGYO
AEFES-ENKAI
AEFES-FROTO
AEFES-HEKTS
AEFES-KONTR
AEFES-KRDMD
AEFES-MGROS
AEFES-ODAS
AEFES-SAHOL
AEFES-TSKB
AEFES-VESTL
AEFES-ZOREN
AKBNK-ENJSA
AKBNK-HALKB
AKBNK-ISCTR
AKBNK-KOZAA
AKBNK-SASA
AKBNK-SOKM
AKBNK-TKFEN
AKBNK-TSKB
AKBNK-ULKER
AKBNK-YKBNK
AKBNK-ZOREN
AKSEN-EKGYO
AKSEN-ENJSA
AKSEN-ENKAI
AKSEN-HALKB
AKSEN-HEKTS
AKSEN-ISCTR
AKSEN-KCHOL
AKSEN-KOZAA
AKSEN-KRDMD
AKSEN-MGROS
AKSEN-PETKM
AKSEN-TAVHL
AKSEN-TCELL
AKSEN-TTKOM
AKSEN-TUPRS
AKSEN-VAKBN
AKSEN-VESTL
AKSEN-YKBNK
ALARK-DOHOL
ALARK-MGROS
ALARK-SASA
ALARK-TSKB
ALARK-TTKOM
ALARK-TUPRS
ALARK-ULKER
ARCLK-EKGYO
ARCLK-HALKB
ARCLK-HEKTS
ARCLK-ISCTR
ARCLK-ODAS
ARCLK-OYAKC
ARCLK-TSKB
ASELS-DOAS
ASELS-EKGYO
ASELS-HEKTS
ASELS-TCELL
ASELS-ZOREN
BIMAS-ENJSA
BIMAS-GUBRF
BIMAS-ISCTR
BIMAS-KCHOL
BIMAS-KOZAA
BIMAS-PETKM
BIMAS-SAHOL
BIMAS-SASA
BIMAS-TUPRS
BIMAS-YKBNK
BRSAN-EGEEN
BRSAN-FROTO
BRSAN-KONTR
BRSAN-ODAS
BRSAN-PETKM
BRSAN-SAHOL
BRSAN-YKBNK
CCOLA-EKGYO
CCOLA-ENJSA
CCOLA-GUBRF
CCOLA-KCHOL
CCOLA-KOZAA
CCOLA-TUPRS
CCOLA-ULKER
CIMSA-HEKTS
CIMSA-ISCTR
CIMSA-KOZAA
CIMSA-ODAS
CIMSA-PETKM
CIMSA-TOASO
CIMSA-TTRAK
CIMSA-ULKER
DOAS-GUBRF
DOAS-HALKB
DOAS-HEKTS
DOAS-ISCTR
DOAS-KOZAA
DOAS-KOZAL
DOAS-OYAKC
DOAS-SASA
DOAS-SISE
DOAS-TTKOM
DOAS-TUPRS
DOAS-ULKER
DOAS-VAKBN
DOAS-ZOREN
DOHOL-EKGYO
DOHOL-ENJSA
DOHOL-KOZAA
DOHOL-MGROS
DOHOL-SOKM
DOHOL-TCELL
DOHOL-TSKB
DOHOL-TTRAK
EGEEN-EKGYO
EGEEN-KOZAA
EGEEN-KOZAL
EGEEN-SASA
EGEEN-ULKER
EGEEN-ZOREN
EKGYO-ISCTR
EKGYO-KOZAA
EKGYO-SASA
EKGYO-TSKB
EKGYO-ULKER
ENJSA-KCHOL
ENJSA-KOZAA
ENJSA-PETKM
ENJSA-SAHOL
ENJSA-TSKB
ENJSA-TTKOM
ENJSA-VAKBN
ENJSA-YKBNK
ENJSA-ZOREN
ENKAI-GARAN
ENKAI-HEKTS
ENKAI-ISCTR
ENKAI-SAHOL
ENKAI-SASA
ENKAI-TUPRS
ENKAI-ULKER
ENKAI-VESTL
ENKAI-YKBNK
EREGL-GUBRF
EREGL-KONTR
EREGL-KOZAA
EREGL-KOZAL
EREGL-OYAKC
EREGL-SAHOL
EREGL-ULKER
EREGL-ZOREN
FROTO-GUBRF
FROTO-KONTR
FROTO-TSKB
GARAN-ISCTR
GARAN-SASA
GARAN-TSKB
GARAN-ULKER
GARAN-VAKBN
GARAN-ZOREN
GUBRF-HEKTS
GUBRF-ISCTR
GUBRF-KCHOL
GUBRF-PGSUS
GUBRF-SASA
GUBRF-TSKB
GUBRF-VAKBN
GUBRF-ZOREN
HALKB-HEKTS
HALKB-KONTR
HALKB-KOZAA
HALKB-ODAS
HALKB-SASA
HALKB-SOKM
HEKTS-ISCTR
HEKTS-TSKB
HEKTS-YKBNK
HEKTS-ZOREN
ISCTR-KONTR
ISCTR-KOZAA
ISCTR-TSKB
ISCTR-ULKER
KCHOL-KOZAA
KCHOL-MGROS
KCHOL-PETKM
KCHOL-SASA
KCHOL-TTKOM
KCHOL-TUPRS
KCHOL-ULKER
KCHOL-ZOREN
KONTR-MGROS
KONTR-PETKM
KONTR-SASA
KONTR-TSKB
KONTR-VAKBN
KOZAA-KOZAL
KOZAA-TOASO
KOZAA-TSKB
KOZAL-SASA
KOZAL-ZOREN
KRDMD-SISE
KRDMD-TCELL
KRDMD-TSKB
KRDMD-ULKER
KRDMD-VAKBN
MGROS-SASA
MGROS-TKFEN
MGROS-TSKB
ODAS-OYAKC
ODAS-PETKM
ODAS-TSKB
ODAS-VAKBN
OYAKC-SOKM
OYAKC-TKFEN
OYAKC-TSKB
PETKM-SAHOL
PETKM-SASA
PETKM-SISE
PETKM-SOKM
PETKM-TOASO
PETKM-TUPRS
PETKM-YKBNK
PETKM-ZOREN
PGSUS-SASA
PGSUS-TKFEN
PGSUS-TUPRS
SAHOL-SASA
SAHOL-TTKOM
SAHOL-TUPRS
SAHOL-ULKER
SAHOL-VAKBN
SASA-TSKB
SASA-ZOREN
SISE-TCELL
SISE-TSKB
SOKM-TKFEN
SOKM-ZOREN
TCELL-TKFEN
TCELL-TOASO
TCELL-TSKB
THYAO-TKFEN
TKFEN-TSKB
TOASO-ULKER
TOASO-ZOREN
TSKB-TTKOM
TSKB-TUPRS
TSKB-VAKBN
TSKB-YKBNK
TSKB-ZOREN
TTKOM-ZOREN
TTRAK-ZOREN
TUPRS-ZOREN
VESTL-ZOREN
YKBNK-ZOREN
